cnae,description,segment,fit,note
1062700,MOAGEM DE TRIGO E FABRICAÇÃO DE DERIVADOS,Alimentos,compatible,
1063500,FABRICAÇÃO DE FARINHA DE MANDIOCA E DERIVADOS,Alimentos,compatible,
1064300,"FABRICAÇÃO DE FARINHA DE MILHO E DERIVADOS, EXCETO ÓLEOS DE MILHO",Alimentos,compatible,
1065101,FABRICAÇÃO DE AMIDOS E FÉCULAS DE VEGETAIS,Alimentos,compatible,
1065102,FABRICAÇÃO DE ÓLEO DE MILHO EM BRUTO,Alimentos,check,"crude corn oil, an industrial input"
1065103,FABRICAÇÃO DE ÓLEO DE MILHO REFINADO,Alimentos,compatible,
1066000,FABRICAÇÃO DE ALIMENTOS PARA ANIMAIS,Alimentos,check,"animal feed, not human food"
1069400,MOAGEM E FABRICAÇÃO DE PRODUTOS DE ORIGEM VEGETAL NÃO ESPECIFICADOS ANTERIORMENTE,Alimentos,compatible,
1071600,FABRICAÇÃO DE AÇÚCAR EM BRUTO,Alimentos,check,"raw sugar, an industrial input"
1072401,FABRICAÇÃO DE AÇÚCAR DE CANA REFINADO,Alimentos,compatible,
1072402,FABRICAÇÃO DE AÇÚCAR DE CEREAIS (DEXTROSE) E DE BETERRABA,Alimentos,compatible,
1081301,BENEFICIAMENTO DE CAFÉ,Alimentos,check,"green coffee processing, not the roasted coffee tenders buy"
1081302,TORREFAÇÃO E MOAGEM DE CAFÉ,Alimentos,compatible,
1082100,FABRICAÇÃO DE PRODUTOS À BASE DE CAFÉ,Alimentos,compatible,
1091101,FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO INDUSTRIAL,Alimentos,compatible,
1091102,FABRICAÇÃO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE PRODUÇÃO PRÓPRIA,Alimentos,compatible,
1092900,FABRICAÇÃO DE BISCOITOS E BOLACHAS,Alimentos,compatible,
1093701,FABRICAÇÃO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,Alimentos,check,confectionery only
1093702,"FABRICAÇÃO DE FRUTAS CRISTALIZADAS, BALAS E SEMELHANTES",Alimentos,check,confectionery only
1094500,FABRICAÇÃO DE MASSAS ALIMENTÍCIAS,Alimentos,compatible,
1095300,"FABRICAÇÃO DE ESPECIARIAS, MOLHOS, TEMPEROS E CONDIMENTOS",Alimentos,compatible,
1096100,FABRICAÇÃO DE ALIMENTOS E PRATOS PRONTOS,Alimentos,compatible,
1099601,FABRICAÇÃO DE VINAGRES,Alimentos,compatible,
1099602,FABRICAÇÃO DE PÓS ALIMENTÍCIOS,Alimentos,compatible,
1099603,FABRICAÇÃO DE FERMENTOS E LEVEDURAS,Alimentos,check,"yeast and ferments, an industrial input"
1099604,FABRICAÇÃO DE GELO COMUM,Alimentos,check,ice
1099605,"FABRICAÇÃO DE PRODUTOS PARA INFUSÃO (CHÁ, MATE, ETC.)",Alimentos,compatible,
1099606,FABRICAÇÃO DE ADOÇANTES NATURAIS E ARTIFICIAIS,Alimentos,compatible,
1099607,FABRICAÇÃO DE ALIMENTOS DIETÉTICOS E COMPLEMENTOS ALIMENTARES,Alimentos,compatible,
1099699,FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,Alimentos,compatible,
1111901,FABRICAÇÃO DE AGUARDENTE DE CANA DE AÇÚCAR,Alimentos,check,beverages only; the segment is food
1111902,FABRICAÇÃO DE OUTRAS AGUARDENTES E BEBIDAS DESTILADAS,Alimentos,check,beverages only; the segment is food
1112700,FABRICAÇÃO DE VINHO,Alimentos,check,beverages only; the segment is food
1113501,"FABRICAÇÃO DE MALTE, INCLUSIVE MALTE UÍSQUE",Alimentos,check,beverages only; the segment is food
1113502,FABRICAÇÃO DE CERVEJAS E CHOPES,Alimentos,check,beverages only; the segment is food
1121600,FABRICAÇÃO DE ÁGUAS ENVASADAS,Alimentos,check,beverages only; the segment is food
1122401,FABRICAÇÃO DE REFRIGERANTES,Alimentos,check,beverages only; the segment is food
1122402,FABRICAÇÃO DE CHÁ MATE E OUTROS CHÁS PRONTOS PARA CONSUMO,Alimentos,check,beverages only; the segment is food
1122403,"FABRICAÇÃO DE REFRESCOS, XAROPES E PÓS PARA REFRESCOS, EXCETO REFRESCOS DE FRUTAS",Alimentos,check,beverages only; the segment is food
1122404,FABRICAÇÃO DE BEBIDAS ISOTÔNICAS,Alimentos,check,beverages only; the segment is food
1122499,FABRICAÇÃO DE OUTRAS BEBIDAS NÃO ALCOÓLICAS NÃO ESPECIFICADAS ANTERIORMENTE,Alimentos,check,beverages only; the segment is food
1411801,CONFECÇÃO DE ROUPAS ÍNTIMAS,Vestuário / Uniformes,compatible,
1411802,FACÇÃO DE ROUPAS ÍNTIMAS,Vestuário / Uniformes,compatible,
1412601,"CONFECÇÃO DE PEÇAS DE VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS E AS CONFECCIONADAS SOB MEDIDA",Vestuário / Uniformes,compatible,
1412602,"CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS",Vestuário / Uniformes,compatible,
1412603,"FACÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS",Vestuário / Uniformes,compatible,
1413401,"CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA",Vestuário / Uniformes,compatible,workwear
1413402,"CONFECÇÃO, SOB MEDIDA, DE ROUPAS PROFISSIONAIS",Vestuário / Uniformes,compatible,workwear
1413403,FACÇÃO DE ROUPAS PROFISSIONAIS,Vestuário / Uniformes,compatible,workwear
1414200,"FABRICAÇÃO DE ACESSÓRIOS DO VESTUÁRIO, EXCETO PARA SEGURANÇA E PROTEÇÃO",Vestuário / Uniformes,check,accessories only
1421500,FABRICAÇÃO DE MEIAS,Vestuário / Uniformes,compatible,
1422300,"FABRICAÇÃO DE ARTIGOS DO VESTUÁRIO, PRODUZIDOS EM MALHARIAS E TRICOTAGENS, EXCETO MEIAS",Vestuário / Uniformes,compatible,
1531901,FABRICAÇÃO DE CALÇADOS DE COURO,Vestuário / Uniformes,compatible,footwear
1531902,ACABAMENTO DE CALÇADOS DE COURO SOB CONTRATO,Vestuário / Uniformes,compatible,footwear
1532700,FABRICAÇÃO DE TÊNIS DE QUALQUER MATERIAL,Vestuário / Uniformes,compatible,footwear
1533500,FABRICAÇÃO DE CALÇADOS DE MATERIAL SINTÉTICO,Vestuário / Uniformes,compatible,footwear
1539400,FABRICAÇÃO DE CALÇADOS DE MATERIAIS NÃO ESPECIFICADOS ANTERIORMENTE,Vestuário / Uniformes,compatible,footwear
1540800,"FABRICAÇÃO DE PARTES PARA CALÇADOS, DE QUALQUER MATERIAL",Vestuário / Uniformes,check,"footwear parts, not finished footwear"
1610203,SERRARIAS COM DESDOBRAMENTO DE MADEIRA EM BRUTO,Construção / Hidráulica,check,sawmills: raw timber
1610204,SERRARIAS SEM DESDOBRAMENTO DE MADEIRA EM BRUTO - RESSERRAGEM,Construção / Hidráulica,check,sawmills: raw timber
1610205,SERVIÇO DE TRATAMENTO DE MADEIRA REALIZADO SOB CONTRATO,Construção / Hidráulica,check,sawmills: raw timber
1621800,"FABRICAÇÃO DE MADEIRA LAMINADA E DE CHAPAS DE MADEIRA COMPENSADA, PRENSADA E AGLOMERADA",Construção / Hidráulica,compatible,
1622601,FABRICAÇÃO DE CASAS DE MADEIRA PRÉ FABRICADAS,Construção / Hidráulica,compatible,carpentry for construction
1622602,FABRICAÇÃO DE ESQUADRIAS DE MADEIRA E DE PEÇAS DE MADEIRA PARA INSTALAÇÕES INDUSTRIAIS E COMERCIAIS,Construção / Hidráulica,compatible,carpentry for construction
1622699,FABRICAÇÃO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUÇÃO,Construção / Hidráulica,compatible,carpentry for construction
1629301,"FABRICAÇÃO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MÓVEIS",Construção / Hidráulica,check,miscellaneous wood articles
1721400,FABRICAÇÃO DE PAPEL,Gráfico / Escritório,check,"paper in bulk, not office stationery"
1722200,FABRICAÇÃO DE CARTOLINA E PAPEL CARTÃO,Gráfico / Escritório,check,"board in bulk, not office stationery"
1731100,FABRICAÇÃO DE EMBALAGENS DE PAPEL,Gráfico / Escritório,check,"paper packaging, not office stationery"
1732000,FABRICAÇÃO DE EMBALAGENS DE CARTOLINA E PAPEL CARTÃO,Gráfico / Escritório,check,"paper packaging, not office stationery"
1733800,FABRICAÇÃO DE CHAPAS E DE EMBALAGENS DE PAPELÃO ONDULADO,Gráfico / Escritório,check,"paper packaging, not office stationery"
1741901,FABRICAÇÃO DE FORMULÁRIOS CONTÍNUOS,Gráfico / Escritório,compatible,
1741902,"FABRICAÇÃO DE PRODUTOS DE PAPEL, CARTOLINA, PAPEL CARTÃO E PAPELÃO ONDULADO PARA USO COMERCIAL E DE ESCRITÓRIO",Gráfico / Escritório,compatible,
1742701,FABRICAÇÃO DE FRALDAS DESCARTÁVEIS,Saúde / Hospitalar,check,disposable nappies; bought in health tenders
1742702,FABRICAÇÃO DE ABSORVENTES HIGIÊNICOS,Limpeza / Higiene,check,sanitary towels
1742799,FABRICAÇÃO DE PRODUTOS DE PAPEL PARA USO DOMÉSTICO E HIGIÊNICO SANITÁRIO NÃO ESPECIFICADOS ANTERIORMENTE,Limpeza / Higiene,compatible,toilet paper and household hygiene paper
1749400,"FABRICAÇÃO DE PRODUTOS DE PASTAS CELULÓSICAS, PAPEL, CARTOLINA, PAPEL CARTÃO E PAPELÃO ONDULADO NÃO ESPECIFICADOS ANTERIORMENTE",Gráfico / Escritório,check,other paper products
1811301,IMPRESSÃO DE JORNAIS,Gráfico / Escritório,compatible,printing
1811302,"IMPRESSÃO DE LIVROS, REVISTAS E OUTRAS PUBLICAÇÕES PERIÓDICAS",Gráfico / Escritório,compatible,printing
1812100,IMPRESSÃO DE MATERIAL DE SEGURANÇA,Gráfico / Escritório,compatible,printing
1813001,IMPRESSÃO DE MATERIAL PARA USO PUBLICITÁRIO,Gráfico / Escritório,compatible,printing
1813099,IMPRESSÃO DE MATERIAL PARA OUTROS USOS,Gráfico / Escritório,compatible,printing
1821100,SERVIÇOS DE PRÉ IMPRESSÃO,Gráfico / Escritório,compatible,pre-press
1822901,SERVIÇOS DE ENCADERNAÇÃO E PLASTIFICAÇÃO,Gráfico / Escritório,compatible,print finishing
1822999,"SERVIÇOS DE ACABAMENTOS GRÁFICOS, EXCETO ENCADERNAÇÃO E PLASTIFICAÇÃO",Gráfico / Escritório,compatible,print finishing
1830003,REPRODUÇÃO DE SOFTWARE EM QUALQUER SUPORTE,Software / Sistemas,check,"software reproduction, not development"
2052500,FABRICAÇÃO DE DESINFESTANTES DOMISSANITÁRIOS,Limpeza / Higiene,check,pest-control products rather than cleaning products
2061400,FABRICAÇÃO DE SABÕES E DETERGENTES SINTÉTICOS,Limpeza / Higiene,compatible,
2062200,FABRICAÇÃO DE PRODUTOS DE LIMPEZA E POLIMENTO,Limpeza / Higiene,compatible,
2063100,"FABRICAÇÃO DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",Limpeza / Higiene,check,cosmetics and personal hygiene
2071100,"FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES E LACAS",Construção / Hidráulica,compatible,paint
2072000,FABRICAÇÃO DE TINTAS DE IMPRESSÃO,Gráfico / Escritório,check,printing inks
2073800,"FABRICAÇÃO DE IMPERMEABILIZANTES, SOLVENTES E PRODUTOS AFINS",Construção / Hidráulica,compatible,
2091600,FABRICAÇÃO DE ADESIVOS E SELANTES,Construção / Hidráulica,check,adhesives and sealants
2110600,FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS,Saúde / Hospitalar,check,"pharmochemical inputs, not finished medicines"
2121101,FABRICAÇÃO DE MEDICAMENTOS ALOPÁTICOS PARA USO HUMANO,Saúde / Hospitalar,compatible,
2121102,FABRICAÇÃO DE MEDICAMENTOS HOMEOPÁTICOS PARA USO HUMANO,Saúde / Hospitalar,compatible,
2121103,FABRICAÇÃO DE MEDICAMENTOS FITOTERÁPICOS PARA USO HUMANO,Saúde / Hospitalar,compatible,
2122000,FABRICAÇÃO DE MEDICAMENTOS PARA USO VETERINÁRIO,Saúde / Hospitalar,check,veterinary medicines
2123800,FABRICAÇÃO DE PREPARAÇÕES FARMACÊUTICAS,Saúde / Hospitalar,compatible,
2211100,FABRICAÇÃO DE PNEUMÁTICOS E DE CÂMARAS DE AR,Veículos / Peças,compatible,tyres
2212900,REFORMA DE PNEUMÁTICOS USADOS,Veículos / Peças,compatible,retreaded tyres
2223400,FABRICAÇÃO DE TUBOS E ACESSÓRIOS DE MATERIAL PLÁSTICO PARA USO NA CONSTRUÇÃO,Construção / Hidráulica,compatible,pipes and fittings
2229303,"FABRICAÇÃO DE ARTEFATOS DE MATERIAL PLÁSTICO PARA USO NA CONSTRUÇÃO, EXCETO TUBOS E ACESSÓRIOS",Construção / Hidráulica,compatible,
2311700,FABRICAÇÃO DE VIDRO PLANO E DE SEGURANÇA,Construção / Hidráulica,compatible,flat and safety glass
2320600,FABRICAÇÃO DE CIMENTO,Construção / Hidráulica,compatible,cement
2330301,"FABRICAÇÃO DE ESTRUTURAS PRÉ MOLDADAS DE CONCRETO ARMADO, EM SÉRIE E SOB ENCOMENDA",Construção / Hidráulica,compatible,
2330302,FABRICAÇÃO DE ARTEFATOS DE CIMENTO PARA USO NA CONSTRUÇÃO,Construção / Hidráulica,compatible,
2330303,FABRICAÇÃO DE ARTEFATOS DE FIBROCIMENTO PARA USO NA CONSTRUÇÃO,Construção / Hidráulica,compatible,
2330304,FABRICAÇÃO DE CASAS PRÉ MOLDADAS DE CONCRETO,Construção / Hidráulica,compatible,
2330305,PREPARAÇÃO DE MASSA DE CONCRETO E ARGAMASSA PARA CONSTRUÇÃO,Construção / Hidráulica,compatible,
2330399,"FABRICAÇÃO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E MATERIAIS SEMELHANTES",Construção / Hidráulica,compatible,
2341900,FABRICAÇÃO DE PRODUTOS CERÂMICOS REFRATÁRIOS,Construção / Hidráulica,check,"refractory ceramics, industrial use"
2342701,FABRICAÇÃO DE AZULEJOS E PISOS,Construção / Hidráulica,compatible,
2342702,"FABRICAÇÃO DE ARTEFATOS DE CERÂMICA E BARRO COZIDO PARA USO NA CONSTRUÇÃO, EXCETO AZULEJOS E PISOS",Construção / Hidráulica,compatible,
2349401,FABRICAÇÃO DE MATERIAL SANITÁRIO DE CERÂMICA,Construção / Hidráulica,compatible,ceramic sanitary ware
2349499,FABRICAÇÃO DE PRODUTOS CERÂMICOS NÃO REFRATÁRIOS NÃO ESPECIFICADOS ANTERIORMENTE,Construção / Hidráulica,check,other ceramic products
2391501,"BRITAMENTO DE PEDRAS, EXCETO ASSOCIADO À EXTRAÇÃO",Construção / Hidráulica,compatible,
2391502,"APARELHAMENTO DE PEDRAS PARA CONSTRUÇÃO, EXCETO ASSOCIADO À EXTRAÇÃO",Construção / Hidráulica,compatible,
2391503,"APARELHAMENTO DE PLACAS E EXECUÇÃO DE TRABALHOS EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS",Construção / Hidráulica,compatible,
2392300,FABRICAÇÃO DE CAL E GESSO,Construção / Hidráulica,compatible,lime and plaster
2399102,FABRICAÇÃO DE ABRASIVOS,Ferragens / Ferramentas,check,abrasives
2399199,FABRICAÇÃO DE OUTROS PRODUTOS DE MINERAIS NÃO METÁLICOS NÃO ESPECIFICADOS ANTERIORMENTE,Construção / Hidráulica,check,other non-metallic mineral products
2423701,PRODUÇÃO DE TUBOS DE AÇO SEM COSTURA,Construção / Hidráulica,check,steel tubes
2424501,PRODUÇÃO DE ARAMES DE AÇO,Ferragens / Ferramentas,check,steel wire
2431800,PRODUÇÃO DE TUBOS DE AÇO COM COSTURA,Construção / Hidráulica,check,steel tubes
2439300,PRODUÇÃO DE OUTROS TUBOS DE FERRO E AÇO,Construção / Hidráulica,check,iron and steel tubes
2511000,FABRICAÇÃO DE ESTRUTURAS METÁLICAS,Construção / Hidráulica,compatible,steel structures
2512800,FABRICAÇÃO DE ESQUADRIAS DE METAL,Construção / Hidráulica,compatible,metal frames
2539001,"SERVIÇOS DE USINAGEM, TORNEARIA E SOLDA",Ferragens / Ferramentas,check,machining and welding services
2541100,FABRICAÇÃO DE ARTIGOS DE CUTELARIA,Ferragens / Ferramentas,check,cutlery
2542000,"FABRICAÇÃO DE ARTIGOS DE SERRALHERIA, EXCETO ESQUADRIAS",Construção / Hidráulica,compatible,metalwork
2543800,FABRICAÇÃO DE FERRAMENTAS,Ferragens / Ferramentas,compatible,tools
2592601,FABRICAÇÃO DE PRODUTOS DE TREFILADOS DE METAL PADRONIZADOS,Ferragens / Ferramentas,check,drawn metal products
2592602,"FABRICAÇÃO DE PRODUTOS DE TREFILADOS DE METAL, EXCETO PADRONIZADOS",Ferragens / Ferramentas,check,drawn metal products
2599301,SERVIÇOS DE CONFECÇÃO DE ARMAÇÕES METÁLICAS PARA A CONSTRUÇÃO,Construção / Hidráulica,compatible,
2599302,SERVIÇO DE CORTE E DOBRA DE METAIS,Ferragens / Ferramentas,check,metal cutting and bending services
2599399,FABRICAÇÃO DE OUTROS PRODUTOS DE METAL NÃO ESPECIFICADOS ANTERIORMENTE,Ferragens / Ferramentas,check,other metal products
2610800,FABRICAÇÃO DE COMPONENTES ELETRÔNICOS,Informática / TI,check,electronic components
2621300,FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA,Informática / TI,compatible,
2622100,FABRICAÇÃO DE PERIFÉRICOS PARA EQUIPAMENTOS DE INFORMÁTICA,Informática / TI,compatible,peripherals
2631100,"FABRICAÇÃO DE EQUIPAMENTOS TRANSMISSORES DE COMUNICAÇÃO, PEÇAS E ACESSÓRIOS",Informática / TI,check,communication transmitters
2632900,"FABRICAÇÃO DE APARELHOS TELEFÔNICOS E DE OUTROS EQUIPAMENTOS DE COMUNICAÇÃO, PEÇAS E ACESSÓRIOS",Informática / TI,check,telephone equipment
2640000,"FABRICAÇÃO DE APARELHOS DE RECEPÇÃO, REPRODUÇÃO, GRAVAÇÃO E AMPLIFICAÇÃO DE ÁUDIO E VÍDEO",Informática / TI,check,audio and video equipment
2660400,FABRICAÇÃO DE APARELHOS ELETROMÉDICOS E ELETROTERAPÊUTICOS E EQUIPAMENTOS DE IRRADIAÇÃO,Saúde / Hospitalar,compatible,electromedical equipment
2670101,"FABRICAÇÃO DE EQUIPAMENTOS E INSTRUMENTOS ÓPTICOS, PEÇAS E ACESSÓRIOS",Saúde / Hospitalar,check,optical instruments
2680900,"FABRICAÇÃO DE MÍDIAS VIRGENS, MAGNÉTICAS E ÓPTICAS",Informática / TI,check,blank media
2710401,"FABRICAÇÃO DE GERADORES DE CORRENTE CONTÍNUA E ALTERNADA, PEÇAS E ACESSÓRIOS",Elétrica,compatible,
2710402,"FABRICAÇÃO DE TRANSFORMADORES, INDUTORES, CONVERSORES, SINCRONIZADORES E SEMELHANTES, PEÇAS E ACESSÓRIOS",Elétrica,compatible,
2710403,"FABRICAÇÃO DE MOTORES ELÉTRICOS, PEÇAS E ACESSÓRIOS",Elétrica,compatible,
2721000,"FABRICAÇÃO DE PILHAS, BATERIAS E ACUMULADORES ELÉTRICOS, EXCETO PARA VEÍCULOS AUTOMOTORES",Elétrica,compatible,batteries
2722801,FABRICAÇÃO DE BATERIAS E ACUMULADORES PARA VEÍCULOS AUTOMOTORES,Veículos / Peças,compatible,vehicle batteries
2722802,RECONDICIONAMENTO DE BATERIAS E ACUMULADORES PARA VEÍCULOS AUTOMOTORES,Veículos / Peças,compatible,vehicle batteries
2731700,FABRICAÇÃO DE APARELHOS E EQUIPAMENTOS PARA DISTRIBUIÇÃO E CONTROLE DE ENERGIA ELÉTRICA,Elétrica,compatible,
2732500,FABRICAÇÃO DE MATERIAL ELÉTRICO PARA INSTALAÇÕES EM CIRCUITO DE CONSUMO,Elétrica,compatible,
2733300,"FABRICAÇÃO DE FIOS, CABOS E CONDUTORES ELÉTRICOS ISOLADOS",Elétrica,compatible,wire and cable
2740601,FABRICAÇÃO DE LÂMPADAS,Elétrica,compatible,lamps
2740602,FABRICAÇÃO DE LUMINÁRIAS E OUTROS EQUIPAMENTOS DE ILUMINAÇÃO,Elétrica,compatible,luminaires
2751100,"FABRICAÇÃO DE FOGÕES, REFRIGERADORES E MÁQUINAS DE LAVAR E SECAR PARA USO DOMÉSTICO, PEÇAS E ACESSÓRIOS",Elétrica,check,"white goods, not installation material"
2759701,"FABRICAÇÃO DE APARELHOS ELÉTRICOS DE USO PESSOAL, PEÇAS E ACESSÓRIOS",Elétrica,check,"household appliances, not installation material"
2759799,"FABRICAÇÃO DE OUTROS APARELHOS ELETRODOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS",Elétrica,check,"household appliances, not installation material"
2790201,"FABRICAÇÃO DE ELETRODOS, CONTATOS E OUTROS ARTIGOS DE CARVÃO E GRAFITA PARA USO ELÉTRICO, ELETROÍMÃS E ISOLADORES",Elétrica,check,electrodes and insulators
2790202,FABRICAÇÃO DE EQUIPAMENTOS PARA SINALIZAÇÃO E ALARME,Segurança Eletrônica / CFTV,compatible,signalling and alarm equipment
2790299,FABRICAÇÃO DE OUTROS EQUIPAMENTOS E APARELHOS ELÉTRICOS NÃO ESPECIFICADOS ANTERIORMENTE,Elétrica,check,other electrical equipment
2812700,"FABRICAÇÃO DE EQUIPAMENTOS HIDRÁULICOS E PNEUMÁTICOS, PEÇAS E ACESSÓRIOS, EXCETO VÁLVULAS",Construção / Hidráulica,check,hydraulic and pneumatic equipment
2813500,"FABRICAÇÃO DE VÁLVULAS, REGISTROS E DISPOSITIVOS SEMELHANTES, PEÇAS E ACESSÓRIOS",Construção / Hidráulica,check,valves and stopcocks
2829101,"FABRICAÇÃO DE MÁQUINAS DE ESCREVER, CALCULAR E OUTROS EQUIPAMENTOS NÃO ELETRÔNICOS PARA ESCRITÓRIO, PEÇAS E ACESSÓRIOS",Gráfico / Escritório,check,non-electronic office machines
2840200,"FABRICAÇÃO DE MÁQUINAS FERRAMENTA, PEÇAS E ACESSÓRIOS",Ferragens / Ferramentas,check,machine tools
2854200,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA TERRAPLENAGEM, PAVIMENTAÇÃO E CONSTRUÇÃO, PEÇAS E ACESSÓRIOS, EXCETO TRATORES",Construção / Hidráulica,check,"construction machinery, not materials"
3101200,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA,Mobiliário,compatible,
3102100,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE METAL,Mobiliário,compatible,
3103900,"FABRICAÇÃO DE MÓVEIS DE OUTROS MATERIAIS, EXCETO MADEIRA E METAL",Mobiliário,compatible,
3104700,FABRICAÇÃO DE COLCHÕES,Mobiliário,compatible,
3230200,FABRICAÇÃO DE ARTEFATOS PARA PESCA E ESPORTE,Esportes / Lazer,compatible,sports articles
3240002,"FABRICAÇÃO DE MESAS DE BILHAR, DE SINUCA E ACESSÓRIOS NÃO ASSOCIADA À LOCAÇÃO",Esportes / Lazer,check,billiard tables
3240003,"FABRICAÇÃO DE MESAS DE BILHAR, DE SINUCA E ACESSÓRIOS ASSOCIADA À LOCAÇÃO",Esportes / Lazer,check,billiard tables
3240099,FABRICAÇÃO DE OUTROS BRINQUEDOS E JOGOS RECREATIVOS NÃO ESPECIFICADOS ANTERIORMENTE,Esportes / Lazer,check,toys and games
3250701,"FABRICAÇÃO DE INSTRUMENTOS NÃO ELETRÔNICOS E UTENSÍLIOS PARA USO MÉDICO, CIRÚRGICO, ODONTOLÓGICO E DE LABORATÓRIO",Saúde / Hospitalar,compatible,
3250702,"FABRICAÇÃO DE MOBILIÁRIO PARA USO MÉDICO, CIRÚRGICO, ODONTOLÓGICO E DE LABORATÓRIO",Mobiliário,check,medical furniture; the segment is general furniture
3250702,"FABRICAÇÃO DE MOBILIÁRIO PARA USO MÉDICO, CIRÚRGICO, ODONTOLÓGICO E DE LABORATÓRIO",Saúde / Hospitalar,compatible,
3250703,FABRICAÇÃO DE APARELHOS E UTENSÍLIOS PARA CORREÇÃO DE DEFEITOS FÍSICOS E APARELHOS ORTOPÉDICOS EM GERAL SOB ENCOMENDA,Saúde / Hospitalar,compatible,
3250704,"FABRICAÇÃO DE APARELHOS E UTENSÍLIOS PARA CORREÇÃO DE DEFEITOS FÍSICOS E APARELHOS ORTOPÉDICOS EM GERAL, EXCETO SOB ENCOMENDA",Saúde / Hospitalar,compatible,
3250705,FABRICAÇÃO DE MATERIAIS PARA MEDICINA E ODONTOLOGIA,Saúde / Hospitalar,compatible,
3250706,SERVIÇOS DE PRÓTESE DENTÁRIA,Saúde / Hospitalar,check,dental prosthesis service
